frequency_Hz,power_dBm
1000000000.0,-66.82
1014014014.014014,-66.12
1028028028.028028,-66.67
1042042042.042042,-65.96
1056056056.056056,-65.75
1070070070.07007,-66.52
1084084084.084084,-66.28
1098098098.098098,-66.09
1112112112.112112,-65.72
1126126126.126126,-66.17
1140140140.14014,-65.77
1154154154.154154,-66.21
1168168168.168168,-64.99
1182182182.182182,-65.51
1196196196.196196,-66.07
1210210210.2102103,-66.26
1224224224.224224,-66.58
1238238238.2382383,-65.61
1252252252.252252,-65.83
1266266266.2662663,-66.02
1280280280.28028,-66.42
1294294294.2942944,-65.03
1308308308.3083084,-65.93
1322322322.3223224,-66.8
1336336336.3363364,-65.7
1350350350.3503504,-66.13
1364364364.3643644,-65.66
1378378378.3783784,-66.62
1392392392.3923924,-66.38
1406406406.4064064,-65.93
1420420420.4204204,-65.64
1434434434.4344344,-65.64
1448448448.4484484,-66.03
1462462462.4624624,-66.11
1476476476.4764764,-65.96
1490490490.4904904,-66.16
1504504504.5045044,-66.11
1518518518.5185184,-65.71
1532532532.5325325,-64.42
1546546546.5465465,-65.41
1560560560.5605605,-65.65
1574574574.5745745,-65.24
1588588588.5885887,-66.08
1602602602.6026025,-65.61
1616616616.6166167,-65.44
1630630630.6306305,-66.11
1644644644.6446447,-65.65
1658658658.6586585,-65.16
1672672672.6726727,-65.32
1686686686.6866865,-66.06
1700700700.7007008,-64.23
1714714714.7147145,-65.4
1728728728.7287288,-65.07
1742742742.7427425,-65.41
1756756756.7567568,-65.88
1770770770.7707705,-65.72
1784784784.7847848,-65.82
1798798798.7987988,-65.53
1812812812.8128128,-65.88
1826826826.8268268,-66.37
1840840840.8408408,-65.21
1854854854.8548548,-64.35
1868868868.8688688,-64.8
1882882882.8828828,-66.25
1896896896.8968968,-65.67
1910910910.9109108,-64.92
1924924924.9249249,-65.58
1938938938.9389389,-65.32
1952952952.9529529,-65.73
1966966966.9669669,-65.09
1980980980.9809809,-65.2
1994994994.9949949,-65.24
2009009009.009009,-65.31
2023023023.0230231,-64.89
2037037037.037037,-65.0
2051051051.0510511,-65.5
2065065065.065065,-64.67
2079079079.079079,-64.88
2093093093.093093,-64.6
2107107107.107107,-64.6
2121121121.121121,-65.63
2135135135.1351352,-64.7
2149149149.149149,-65.18
2163163163.163163,-65.62
2177177177.1771774,-64.89
2191191191.191191,-65.11
2205205205.205205,-65.55
2219219219.219219,-64.92
2233233233.2332335,-64.24
2247247247.247247,-64.55
2261261261.261261,-64.07
2275275275.275275,-64.49
2289289289.2892895,-64.3
2303303303.3033032,-63.88
2317317317.317317,-64.53
2331331331.3313313,-65.27
2345345345.3453455,-64.12
2359359359.3593593,-64.42
2373373373.373373,-65.06
2387387387.3873873,-64.51
2401401401.4014015,-65.04
2415415415.4154153,-64.14
2429429429.429429,-64.32
2443443443.4434433,-65.0
2457457457.4574575,-65.1
2471471471.4714713,-65.01
2485485485.485485,-64.57
2499499499.4994993,-64.36
2513513513.5135136,-65.28
2527527527.5275273,-64.97
2541541541.541541,-64.94
2555555555.5555553,-65.4
2569569569.5695696,-64.24
2583583583.583584,-64.61
2597597597.5975976,-64.53
2611611611.6116114,-64.39
2625625625.6256256,-63.45
2639639639.63964,-65.23
2653653653.6536536,-64.99
2667667667.6676674,-63.92
2681681681.6816816,-64.67
2695695695.695696,-63.47
2709709709.7097096,-65.06
2723723723.7237234,-64.48
2737737737.7377377,-64.25
2751751751.751752,-64.6
2765765765.7657657,-63.8
2779779779.7797794,-64.8
2793793793.7937937,-64.84
2807807807.807808,-64.57
2821821821.8218217,-64.91
2835835835.8358355,-63.95
2849849849.8498497,-63.74
2863863863.863864,-64.25
2877877877.8778777,-64.06
2891891891.8918915,-63.91
2905905905.9059057,-65.0
2919919919.91992,-64.07
2933933933.9339337,-64.68
2947947947.9479475,-64.39
2961961961.9619617,-64.54
2975975975.975976,-64.39
2989989989.9899898,-63.74
3004004004.0040035,-63.85
3018018018.018018,-64.56
3032032032.032032,-63.39
3046046046.0460463,-62.69
3060060060.06006,-64.25
3074074074.074074,-63.93
3088088088.088088,-63.94
3102102102.1021023,-64.31
3116116116.116116,-64.11
3130130130.13013,-63.88
3144144144.144144,-63.32
3158158158.158158,-64.48
3172172172.172172,-64.54
3186186186.186186,-64.27
3200200200.2002,-63.99
3214214214.214214,-64.79
3228228228.228228,-64.16
3242242242.242242,-63.05
3256256256.256256,-63.84
3270270270.2702703,-63.73
3284284284.284284,-64.11
3298298298.2982984,-64.03
3312312312.312312,-63.41
3326326326.3263264,-63.91
3340340340.34034,-64.29
3354354354.3543544,-64.21
3368368368.368368,-63.02
3382382382.3823824,-63.77
3396396396.396396,-62.93
3410410410.4104104,-64.4
3424424424.424424,-64.22
3438438438.4384384,-63.38
3452452452.452452,-63.49
3466466466.4664664,-63.6
3480480480.48048,-63.48
3494494494.4944944,-63.63
3508508508.508508,-63.62
3522522522.5225224,-61.54
3536536536.536536,-63.61
3550550550.5505505,-63.25
3564564564.564564,-64.05
3578578578.5785785,-63.55
3592592592.5925922,-63.4
3606606606.6066065,-63.21
3620620620.6206203,-63.51
3634634634.6346345,-63.23
3648648648.6486483,-63.23
3662662662.6626625,-63.21
3676676676.6766763,-62.98
3690690690.6906905,-63.03
3704704704.7047048,-61.88
3718718718.7187185,-62.78
3732732732.732733,-63.35
3746746746.7467465,-63.37
3760760760.760761,-63.92
3774774774.7747746,-62.99
3788788788.788789,-63.82
3802802802.8028026,-62.7
3816816816.816817,-63.44
3830830830.8308306,-63.7
3844844844.844845,-63.75
3858858858.8588586,-63.3
3872872872.872873,-64.0
3886886886.8868866,-63.86
3900900900.900901,-63.24
3914914914.9149146,-63.78
3928928928.928929,-63.43
3942942942.9429426,-63.98
3956956956.956957,-63.7
3970970970.9709706,-63.72
3984984984.984985,-64.16
3998998998.9989986,-64.02
4013013013.013013,-63.7
4027027027.0270267,-63.48
4041041041.041041,-63.78
4055055055.0550547,-63.49
4069069069.069069,-64.01
4083083083.0830827,-64.23
4097097097.097097,-64.22
4111111111.1111107,-63.89
4125125125.125125,-64.31
4139139139.139139,-64.21
4153153153.153153,-63.81
4167167167.167167,-64.05
4181181181.181181,-63.21
4195195195.195195,-64.0
4209209209.209209,-63.92
4223223223.223223,-63.69
4237237237.237237,-63.45
4251251251.251251,-62.75
4265265265.265265,-63.57
4279279279.279279,-63.19
4293293293.293293,-64.43
4307307307.307307,-63.26
4321321321.3213215,-63.61
4335335335.335335,-63.37
4349349349.349349,-63.42
4363363363.363363,-63.68
4377377377.377377,-63.71
4391391391.391392,-63.31
4405405405.405405,-62.89
4419419419.419419,-63.28
4433433433.433434,-63.69
4447447447.447447,-63.97
4461461461.461461,-63.71
4475475475.475475,-64.01
4489489489.489489,-64.19
4503503503.503504,-63.03
4517517517.517517,-63.24
4531531531.531531,-63.71
4545545545.545546,-63.63
4559559559.559559,-63.05
4573573573.573573,-63.32
4587587587.587587,-63.04
4601601601.601602,-63.12
4615615615.615616,-63.38
4629629629.629629,-63.46
4643643643.643643,-61.99
4657657657.657658,-62.76
4671671671.671671,-63.46
4685685685.685686,-63.32
4699699699.699699,-62.89
4713713713.713714,-62.7
4727727727.727728,-62.7
4741741741.741741,-63.2
4755755755.755755,-62.88
4769769769.76977,-63.48
4783783783.783783,-62.32
4797797797.797798,-63.68
4811811811.811811,-63.25
4825825825.825826,-63.49
4839839839.83984,-62.86
4853853853.853853,-63.17
4867867867.867867,-63.28
4881881881.881882,-63.25
4895895895.895895,-61.95
4909909909.90991,-62.56
4923923923.9239235,-63.6
4937937937.937938,-61.43
4951951951.951952,-62.75
4965965965.965965,-62.56
4979979979.9799795,-63.18
4993993993.993994,-62.21
5008008008.008007,-62.94
5022022022.022022,-62.82
5036036036.036036,-62.52
5050050050.05005,-62.58
5064064064.064064,-62.99
5078078078.078077,-62.05
5092092092.0920925,-62.83
5106106106.106106,-62.35
5120120120.12012,-62.77
5134134134.134134,-63.39
5148148148.148148,-62.85
5162162162.162162,-62.52
5176176176.176176,-62.87
5190190190.190189,-61.79
5204204204.204205,-62.16
5218218218.218218,-62.94
5232232232.232232,-60.4
5246246246.246246,-62.42
5260260260.26026,-62.44
5274274274.274274,-62.04
5288288288.288288,-61.32
