--- first setup ---
Valid spectra: 72

--- second setup ---
Valid spectra: 72

--- third setup ---
Valid spectra: 72

=== Combined (216 total spectra) ===
                                      file               timestamp    pol  pointing_idx  az_deg
0     first setup/EOS20260311113041411.csv 2026-03-11 11:30:41.411   0deg             0     0.0
1     first setup/EOS20260311113121259.csv 2026-03-11 11:31:21.259  90deg             0     0.0
2     first setup/EOS20260311113201191.csv 2026-03-11 11:32:01.191   0deg             1     2.0
3     first setup/EOS20260311113321006.csv 2026-03-11 11:33:21.006  90deg             1     2.0
4     first setup/EOS20260311113400917.csv 2026-03-11 11:34:00.917   0deg             2     4.0
5     first setup/EOS20260311113440781.csv 2026-03-11 11:34:40.781  90deg             2     4.0
6     first setup/EOS20260311113600641.csv 2026-03-11 11:36:00.641   0deg             3     6.0
7     first setup/EOS20260311113640568.csv 2026-03-11 11:36:40.568  90deg             3     6.0
8     first setup/EOS20260311113720402.csv 2026-03-11 11:37:20.402   0deg             4     8.0
9     first setup/EOS20260311113840400.csv 2026-03-11 11:38:40.400  90deg             4     8.0
10    first setup/EOS20260311113920151.csv 2026-03-11 11:39:20.151   0deg             5    10.0
11    first setup/EOS20260311114000213.csv 2026-03-11 11:40:00.213  90deg             5    10.0
12    first setup/EOS20260311114159973.csv 2026-03-11 11:41:59.973   0deg             6    12.0
13    first setup/EOS20260311114239698.csv 2026-03-11 11:42:39.698  90deg             6    12.0
14    first setup/EOS20260311114319754.csv 2026-03-11 11:43:19.754   0deg             7    14.0
15    first setup/EOS20260311114439458.csv 2026-03-11 11:44:39.458  90deg             7    14.0
16    first setup/EOS20260311114519571.csv 2026-03-11 11:45:19.571   0deg             8    16.0
17    first setup/EOS20260311114559327.csv 2026-03-11 11:45:59.327  90deg             8    16.0
18    first setup/EOS20260311114759101.csv 2026-03-11 11:47:59.101   0deg             9    18.0
19    first setup/EOS20260311114839175.csv 2026-03-11 11:48:39.175  90deg             9    18.0
20    first setup/EOS20260311114918852.csv 2026-03-11 11:49:18.852   0deg            10    20.0
21    first setup/EOS20260311115038927.csv 2026-03-11 11:50:38.927  90deg            10    20.0
22    first setup/EOS20260311115118812.csv 2026-03-11 11:51:18.812   0deg            11    22.0
23    first setup/EOS20260311115158883.csv 2026-03-11 11:51:58.883  90deg            11    22.0
24    first setup/EOS20260311115318587.csv 2026-03-11 11:53:18.587   0deg            12    24.0
25    first setup/EOS20260311115358562.csv 2026-03-11 11:53:58.562  90deg            12    24.0
26    first setup/EOS20260311115519050.csv 2026-03-11 11:55:19.050   0deg            13    26.0
27    first setup/EOS20260311115559480.csv 2026-03-11 11:55:59.480  90deg            13    26.0
28    first setup/EOS20260311115640120.csv 2026-03-11 11:56:40.120   0deg            14    28.0
29    first setup/EOS20260311115720687.csv 2026-03-11 11:57:20.687  90deg            14    28.0
30    first setup/EOS20260311115842182.csv 2026-03-11 11:58:42.182   0deg            15    30.0
31    first setup/EOS20260311115922990.csv 2026-03-11 11:59:22.990  90deg            15    30.0
32    first setup/EOS20260311120003633.csv 2026-03-11 12:00:03.633   0deg            16    32.0
33    first setup/EOS20260311120124993.csv 2026-03-11 12:01:24.993  90deg            16    32.0
34    first setup/EOS20260311120205246.csv 2026-03-11 12:02:05.246   0deg            17    34.0
35    first setup/EOS20260311120245151.csv 2026-03-11 12:02:45.151  90deg            17    34.0
36    first setup/EOS20260311120445738.csv 2026-03-11 12:04:45.738   0deg            18    36.0
37    first setup/EOS20260311120606532.csv 2026-03-11 12:06:06.532  90deg            18    36.0
38    first setup/EOS20260311120646566.csv 2026-03-11 12:06:46.566   0deg            19    38.0
39    first setup/EOS20260311120726472.csv 2026-03-11 12:07:26.472  90deg            19    38.0
40    first setup/EOS20260311120806633.csv 2026-03-11 12:08:06.633   0deg            20    40.0
41    first setup/EOS20260311120846386.csv 2026-03-11 12:08:46.386  90deg            20    40.0
42    first setup/EOS20260311121006439.csv 2026-03-11 12:10:06.439   0deg            21    42.0
43    first setup/EOS20260311121046392.csv 2026-03-11 12:10:46.392  90deg            21    42.0
44    first setup/EOS20260311121126468.csv 2026-03-11 12:11:26.468   0deg            22    44.0
45    first setup/EOS20260311121325961.csv 2026-03-11 12:13:25.961  90deg            22    44.0
46    first setup/EOS20260311121405853.csv 2026-03-11 12:14:05.853   0deg            23    46.0
47    first setup/EOS20260311121605993.csv 2026-03-11 12:16:05.993  90deg            23    46.0
48    first setup/EOS20260311121645826.csv 2026-03-11 12:16:45.826   0deg            24    48.0
