frequency_Hz,power_dBm
1000000000.0,-67.45
1001601601.6016016,-67.66
1003203203.2032032,-67.37
1004804804.8048048,-66.19
1006406406.4064064,-66.87
1008008008.008008,-67.65
1009609609.6096096,-67.63
1011211211.2112112,-67.63
1012812812.8128128,-66.94
1014414414.4144144,-67.12
1016016016.016016,-67.63
1017617617.6176176,-66.78
1019219219.2192192,-67.47
1020820820.8208208,-66.63
1022422422.4224224,-66.51
1024024024.024024,-67.54
1025625625.6256256,-67.91
1027227227.2272272,-67.98
1028828828.8288288,-67.83
1030430430.4304304,-67.49
1032032032.032032,-67.31
1033633633.6336336,-67.71
1035235235.2352352,-66.51
1036836836.8368368,-67.22
1038438438.4384384,-67.43
1040040040.04004,-67.85
1041641641.6416416,-67.74
1043243243.2432432,-67.32
1044844844.8448448,-66.52
1046446446.4464464,-66.48
1048048048.048048,-66.53
1049649649.6496496,-67.31
1051251251.2512512,-67.7
1052852852.8528528,-66.83
1054454454.4544544,-67.1
1056056056.056056,-67.53
1057657657.6576576,-67.35
1059259259.2592592,-67.38
1060860860.8608608,-68.05
1062462462.4624624,-68.19
1064064064.064064,-67.36
1065665665.6656656,-67.4
1067267267.2672672,-67.44
1068868868.8688688,-67.1
1070470470.4704704,-66.58
1072072072.072072,-66.33
1073673673.6736736,-66.01
1075275275.2752752,-66.74
1076876876.8768768,-67.52
1078478478.4784784,-67.47
1080080080.08008,-67.27
1081681681.6816816,-67.49
1083283283.2832832,-67.29
1084884884.8848848,-67.11
1086486486.4864864,-67.77
1088088088.088088,-67.68
1089689689.6896896,-66.46
1091291291.2912912,-66.72
1092892892.8928928,-66.67
1094494494.4944944,-66.36
1096096096.096096,-65.26
1097697697.6976976,-65.37
1099299299.2992992,-64.29
1100900900.9009008,-64.11
1102502502.5025024,-64.65
1104104104.104104,-65.48
1105705705.7057056,-64.85
1107307307.3073072,-66.67
1108908908.9089088,-66.8
1110510510.5105104,-67.43
1112112112.112112,-68.16
1113713713.7137136,-67.8
1115315315.3153152,-67.6
1116916916.9169168,-67.47
1118518518.5185184,-67.24
1120120120.12012,-67.4
1121721721.7217216,-67.21
1123323323.3233232,-67.13
1124924924.9249249,-66.37
1126526526.5265265,-66.29
1128128128.128128,-66.87
1129729729.7297297,-66.7
1131331331.3313313,-67.31
1132932932.9329329,-68.0
1134534534.5345345,-67.61
1136136136.136136,-67.55
1137737737.7377377,-67.25
1139339339.3393393,-67.87
1140940940.9409409,-67.61
1142542542.5425425,-66.83
1144144144.144144,-67.04
1145745745.7457457,-67.1
1147347347.3473473,-67.89
1148948948.9489489,-68.19
1150550550.5505505,-68.16
1152152152.152152,-67.31
1153753753.7537537,-67.34
