frequency_Hz,power_dBm
5000000000.0,-63.27
5006006006.006006,-62.99
5012012012.0120125,-62.83
5018018018.018018,-62.7
5024024024.024024,-63.04
5030030030.03003,-63.44
5036036036.0360365,-63.35
5042042042.042042,-63.24
5048048048.048048,-63.55
5054054054.054054,-63.19
5060060060.0600605,-62.34
5066066066.066066,-63.42
5072072072.072072,-63.49
5078078078.078078,-62.2
5084084084.0840845,-62.59
5090090090.09009,-63.6
5096096096.096096,-62.5
5102102102.102102,-62.6
5108108108.1081085,-62.8
5114114114.114114,-62.81
5120120120.12012,-62.91
5126126126.126126,-62.64
5132132132.132133,-62.71
5138138138.138138,-62.66
5144144144.144144,-62.95
5150150150.15015,-62.49
5156156156.156157,-62.87
5162162162.162162,-62.86
5168168168.168168,-62.62
5174174174.174174,-62.66
5180180180.180181,-62.77
5186186186.186186,-62.27
5192192192.192192,-61.77
5198198198.198198,-62.15
5204204204.204205,-61.64
5210210210.21021,-61.92
5216216216.216216,-62.29
5222222222.222222,-62.61
5228228228.228229,-61.3
5234234234.234234,-62.31
5240240240.24024,-61.63
5246246246.246246,-62.24
5252252252.252253,-62.0
5258258258.258258,-61.98
5264264264.264264,-62.64
5270270270.27027,-62.62
5276276276.276277,-61.23
5282282282.282282,-61.46
5288288288.288288,-61.8
5294294294.294294,-61.44
5300300300.300301,-61.95
5306306306.306306,-61.54
5312312312.312312,-61.5
5318318318.318318,-60.36
5324324324.324325,-60.8
5330330330.33033,-62.12
5336336336.336336,-61.62
5342342342.342342,-61.75
5348348348.348349,-62.0
5354354354.354355,-60.95
5360360360.36036,-61.0
5366366366.366366,-61.14
5372372372.372373,-61.54
5378378378.378378,-61.19
5384384384.384384,-60.08
5390390390.39039,-61.34
5396396396.396397,-61.11
5402402402.402403,-60.31
5408408408.408408,-60.31
5414414414.414414,-61.78
5420420420.420421,-60.48
5426426426.426426,-61.95
5432432432.432432,-61.6
5438438438.438438,-59.91
5444444444.444445,-61.59
5450450450.450451,-61.3
5456456456.456456,-61.37
5462462462.462462,-61.14
5468468468.468469,-61.26
5474474474.474475,-61.53
5480480480.48048,-61.66
5486486486.486486,-61.9
5492492492.492493,-61.05
5498498498.498499,-60.32
5504504504.504504,-61.37
5510510510.51051,-61.38
5516516516.516517,-61.69
5522522522.522523,-60.79
5528528528.528528,-61.78
5534534534.534534,-62.0
5540540540.540541,-60.1
5546546546.546547,-60.75
5552552552.552552,-60.64
5558558558.558558,-61.23
5564564564.564565,-60.86
5570570570.570571,-61.64
5576576576.576576,-60.3
5582582582.582582,-61.05
5588588588.588589,-60.03
5594594594.594595,-60.71
5600600600.6006,-60.41
5606606606.6066065,-61.81
5612612612.612613,-61.16
5618618618.618619,-61.0
5624624624.624624,-61.58
5630630630.6306305,-61.83
5636636636.636637,-61.23
5642642642.642643,-61.15
5648648648.648648,-62.07
5654654654.6546545,-59.69
5660660660.660661,-62.1
5666666666.666667,-61.82
5672672672.672672,-61.01
5678678678.6786785,-61.69
5684684684.684685,-61.5
5690690690.690691,-60.48
5696696696.696697,-61.48
