frequency_Hz,power_dBm
1000000000.0,-66.54
1014014014.014014,-67.08
1028028028.028028,-66.46
1042042042.042042,-66.47
1056056056.056056,-66.42
1070070070.07007,-66.75
1084084084.084084,-66.17
1098098098.098098,-66.96
1112112112.112112,-66.32
1126126126.126126,-66.38
1140140140.14014,-66.98
1154154154.154154,-66.67
1168168168.168168,-66.77
1182182182.182182,-66.88
1196196196.196196,-67.0
1210210210.2102103,-65.47
1224224224.224224,-66.71
1238238238.2382383,-66.11
1252252252.252252,-66.92
1266266266.2662663,-66.86
1280280280.28028,-66.54
1294294294.2942944,-66.27
1308308308.3083084,-66.23
1322322322.3223224,-66.38
1336336336.3363364,-66.89
1350350350.3503504,-66.78
1364364364.3643644,-66.85
1378378378.3783784,-65.31
1392392392.3923924,-67.23
1406406406.4064064,-66.04
1420420420.4204204,-66.11
1434434434.4344344,-66.72
1448448448.4484484,-67.23
1462462462.4624624,-66.7
1476476476.4764764,-66.59
1490490490.4904904,-66.19
1504504504.5045044,-66.17
1518518518.5185184,-65.68
1532532532.5325325,-66.11
1546546546.5465465,-66.04
1560560560.5605605,-66.35
1574574574.5745745,-66.44
1588588588.5885887,-66.17
1602602602.6026025,-66.27
1616616616.6166167,-65.78
1630630630.6306305,-66.43
1644644644.6446447,-66.61
1658658658.6586585,-66.76
1672672672.6726727,-66.46
1686686686.6866865,-65.71
1700700700.7007008,-65.84
1714714714.7147145,-65.48
1728728728.7287288,-65.18
1742742742.7427425,-65.77
1756756756.7567568,-65.96
1770770770.7707705,-66.23
1784784784.7847848,-66.07
1798798798.7987988,-65.84
1812812812.8128128,-66.11
1826826826.8268268,-66.18
1840840840.8408408,-66.26
1854854854.8548548,-65.78
1868868868.8688688,-65.45
1882882882.8828828,-66.2
1896896896.8968968,-65.52
1910910910.9109108,-65.82
1924924924.9249249,-64.79
1938938938.9389389,-65.64
1952952952.9529529,-65.59
1966966966.9669669,-64.87
1980980980.9809809,-65.56
1994994994.9949949,-64.94
2009009009.009009,-65.39
2023023023.0230231,-65.45
2037037037.037037,-66.49
2051051051.0510511,-65.37
2065065065.065065,-65.06
2079079079.079079,-66.65
2093093093.093093,-65.36
2107107107.107107,-65.3
2121121121.121121,-65.0
2135135135.1351352,-64.91
2149149149.149149,-65.15
2163163163.163163,-65.59
2177177177.1771774,-64.76
2191191191.191191,-65.82
2205205205.205205,-66.04
2219219219.219219,-65.78
2233233233.2332335,-64.95
2247247247.247247,-64.84
2261261261.261261,-64.96
2275275275.275275,-65.84
2289289289.2892895,-65.13
2303303303.3033032,-64.63
2317317317.317317,-65.33
2331331331.3313313,-66.0
2345345345.3453455,-65.35
2359359359.3593593,-65.77
2373373373.373373,-65.39
2387387387.3873873,-65.77
2401401401.4014015,-65.5
2415415415.4154153,-65.55
2429429429.429429,-65.45
2443443443.4434433,-65.53
2457457457.4574575,-66.01
2471471471.4714713,-65.32
2485485485.485485,-64.73
2499499499.4994993,-65.71
2513513513.5135136,-65.58
2527527527.5275273,-65.82
2541541541.541541,-65.46
2555555555.5555553,-65.47
2569569569.5695696,-65.38
2583583583.583584,-65.51
2597597597.5975976,-65.03
2611611611.6116114,-65.31
2625625625.6256256,-65.09
2639639639.63964,-64.26
2653653653.6536536,-65.15
2667667667.6676674,-64.06
2681681681.6816816,-64.73
2695695695.695696,-64.2
2709709709.7097096,-65.27
2723723723.7237234,-64.47
2737737737.7377377,-63.97
2751751751.751752,-64.94
2765765765.7657657,-64.14
2779779779.7797794,-64.9
2793793793.7937937,-64.69
2807807807.807808,-64.84
2821821821.8218217,-64.66
2835835835.8358355,-65.46
2849849849.8498497,-63.93
2863863863.863864,-65.16
2877877877.8778777,-64.89
2891891891.8918915,-64.12
2905905905.9059057,-64.69
2919919919.91992,-64.34
2933933933.9339337,-64.14
2947947947.9479475,-64.22
2961961961.9619617,-64.63
2975975975.975976,-63.71
2989989989.9899898,-64.28
3004004004.0040035,-64.9
3018018018.018018,-64.5
3032032032.032032,-64.15
3046046046.0460463,-64.27
3060060060.06006,-64.07
3074074074.074074,-64.43
3088088088.088088,-65.21
3102102102.1021023,-64.39
3116116116.116116,-64.61
3130130130.13013,-64.47
3144144144.144144,-64.25
3158158158.158158,-64.63
3172172172.172172,-63.88
3186186186.186186,-63.82
3200200200.2002,-64.69
3214214214.214214,-65.19
3228228228.228228,-64.47
3242242242.242242,-64.02
3256256256.256256,-63.94
3270270270.2702703,-64.46
3284284284.284284,-63.74
3298298298.2982984,-63.25
3312312312.312312,-64.44
3326326326.3263264,-62.8
3340340340.34034,-63.34
3354354354.3543544,-64.47
3368368368.368368,-63.33
3382382382.3823824,-63.88
3396396396.396396,-63.71
3410410410.4104104,-63.94
3424424424.424424,-63.66
3438438438.4384384,-63.6
3452452452.452452,-63.46
3466466466.4664664,-64.18
3480480480.48048,-64.19
3494494494.4944944,-64.14
3508508508.508508,-64.02
3522522522.5225224,-64.31
3536536536.536536,-63.23
3550550550.5505505,-64.01
3564564564.564564,-64.03
3578578578.5785785,-64.29
3592592592.5925922,-63.53
3606606606.6066065,-63.51
3620620620.6206203,-62.93
3634634634.6346345,-63.07
3648648648.6486483,-64.2
3662662662.6626625,-64.33
3676676676.6766763,-63.71
3690690690.6906905,-64.04
3704704704.7047048,-63.35
3718718718.7187185,-64.16
3732732732.732733,-63.48
3746746746.7467465,-63.58
3760760760.760761,-63.24
3774774774.7747746,-63.94
3788788788.788789,-64.48
3802802802.8028026,-63.83
3816816816.816817,-63.92
3830830830.8308306,-62.81
3844844844.844845,-63.16
3858858858.8588586,-63.45
3872872872.872873,-63.42
3886886886.8868866,-64.13
3900900900.900901,-62.99
3914914914.9149146,-64.44
3928928928.928929,-63.72
3942942942.9429426,-64.17
3956956956.956957,-63.75
3970970970.9709706,-64.4
3984984984.984985,-63.68
3998998998.9989986,-64.73
4013013013.013013,-64.38
4027027027.0270267,-63.54
4041041041.041041,-64.76
4055055055.0550547,-63.89
4069069069.069069,-63.64
4083083083.0830827,-63.48
4097097097.097097,-64.07
4111111111.1111107,-64.13
4125125125.125125,-64.74
4139139139.139139,-63.54
4153153153.153153,-64.62
4167167167.167167,-64.22
4181181181.181181,-64.03
4195195195.195195,-64.4
